POSTAL_CODE_ID|PostalCode|City|Province|ProvinceCode|CityType|Latitude|Longitude
1|A0E 2Z0|Monkstown|Newfoundland|NL|D|47.150300000000001|-55.299500000000002
2|A0E 3A0|Petit Forte|Newfoundland|NL|D|47.150300000000001|-55.299500000000002
3|A0E 3B0|South East Bight|Newfoundland|NL|D|47.150300000000001|-55.299500000000002
4|A0H 2J0|McCallum|Newfoundland|NL|D|47.483800000000002|-56.070999999999998
5|A0N 2G0|Black Duck Siding|Newfoundland|NL|D|48.625599999999999|-58.9758
6|A0N 2H0|Burgeo|Newfoundland|NL|D|48.625599999999999|-58.9758
7|A0N 2J0|Ramea|Newfoundland|NL|D|48.625599999999999|-58.9758
8|A0N 2K0|Francois|Newfoundland|NL|D|48.625599999999999|-58.9758
9|A0N 2L0|Grey River|Newfoundland|NL|D|48.625599999999999|-58.9758
10|A1A 5T4|St. John's|Newfoundland|NL|D|47.6081|-52.729900000000001
11|A1A 5T5|St. John's|Newfoundland|NL|D|47.6081|-52.729900000000001
12|A1A 5T6|St. John's|Newfoundland|NL|D|47.6081|-52.729900000000001
13|A1L 2T8|Paradise|Newfoundland|NL|D|47.507300000000001|-52.889099999999999
14|A1L 2T9|Paradise|Newfoundland|NL|D|47.507300000000001|-52.889099999999999
15|A1L 2X1|Paradise|Newfoundland|NL|D|47.507300000000001|-52.889099999999999
16|A1L 2X5|Paradise|Newfoundland|NL|D|47.507300000000001|-52.889099999999999
17|A1L 2X8|Paradise|Newfoundland|NL|D|47.507300000000001|-52.889099999999999
18|A1L 2Y3|Paradise|Newfoundland|NL|D|47.507300000000001|-52.889099999999999
19|A1L 3A1|Paradise|Newfoundland|NL|D|47.507300000000001|-52.889099999999999
20|A1L 3C1|Paradise|Newfoundland|NL|D|47.507300000000001|-52.889099999999999
21|A1L 3C4|Paradise|Newfoundland|NL|D|47.507300000000001|-52.889099999999999
22|A1L 3C5|Paradise|Newfoundland|NL|D|47.507300000000001|-52.889099999999999
23|A1L 3E7|Paradise|Newfoundland|NL|D|47.507300000000001|-52.889099999999999
24|A1M 3S5|Portugal Cove-St Philips|Newfoundland|NL|D|47.5169|-52.822699999999998
25|A1N 5J6|Mount Pearl|Newfoundland|NL|D|47.516599999999997|-52.822299999999998
26|A1V 2V5|Gander|Newfoundland|NL|D|48.949300000000001|-54.616799999999998